Class,FPR,TPR,AUC
0,0.0,0.0,0.9983739837398374
0,0.0,0.12195121951219512,0.9983739837398374
0,0.0,0.14634146341463414,0.9983739837398374
0,0.0,0.21951219512195122,0.9983739837398374
0,0.0,0.975609756097561,0.9983739837398374
0,0.06666666666666667,0.975609756097561,0.9983739837398374
0,0.06666666666666667,1.0,0.9983739837398374
0,1.0,1.0,0.9983739837398374
1,0.0,0.0,1.0
1,0.0,0.09090909090909091,1.0
1,0.0,1.0,1.0
1,0.8,1.0,1.0
1,0.8666666666666667,1.0,1.0
1,0.8888888888888888,1.0,1.0
1,1.0,1.0,1.0
2,0.0,0.0,1.0
2,0.0,0.25,1.0
2,0.0,1.0,1.0
2,0.3076923076923077,1.0,1.0
2,0.34615384615384615,1.0,1.0
2,0.4423076923076923,1.0,1.0
2,0.5,1.0,1.0
2,1.0,1.0,1.0
