,Value
Train Accuracy,1.0
Train Precision (NaBiF4),1.0
Train Recall (NaBiF4),1.0
Train F1 (NaBiF4),1.0
Train Precision (Others),1.0
Train Recall (Others),1.0
Train F1 (Others),1.0
Train Precision (Macro),1.0
Train Recall (Macro),1.0
Train F1 (Macro),1.0
Train Precision (Weighted),1.0
Train Recall (Weighted),1.0
Train F1 (Weighted),1.0
Train ROC AUC,1.0
Train Average Precision,1.0
Test Accuracy,1.0
Test Precision (NaBiF4),1.0
Test Recall (NaBiF4),1.0
Test F1 (NaBiF4),1.0
Test Precision (Others),1.0
Test Recall (Others),1.0
Test F1 (Others),1.0
Test Precision (Macro),1.0
Test Recall (Macro),1.0
Test F1 (Macro),1.0
Test Precision (Weighted),1.0
Test Recall (Weighted),1.0
Test F1 (Weighted),1.0
Test ROC AUC,1.0
Test Average Precision,1.0
